step,train_loss_step,epoch,val_micro_f1,val_micro_iou,val_loss,val_macro_iou,val_macro_f1,val_macro_accuracy,val_micro_accuracy
49,-0.0,0,,,,,,,
99,-0.0,0,,,,,,,
149,-0.0,0,,,,,,,
199,-0.0,0,,,,,,,
249,-0.0,0,,,,,,,
299,-0.0,0,,,,,,,
349,-0.0,0,,,,,,,
399,-0.0,0,,,,,,,
449,-0.0,0,,,,,,,
499,-0.0,0,,,,,,,
549,-0.0,0,,,,,,,
599,-0.0,0,,,,,,,
649,-0.0,0,,,,,,,
699,-0.0,0,,,,,,,
749,-0.0,0,,,,,,,
799,-0.0,0,,,,,,,
849,-0.0,0,,,,,,,
899,-0.0,0,,,,,,,
949,-0.0,0,,,,,,,
999,-0.0,0,,,,,,,
1049,-0.0,0,,,,,,,
1099,-0.0,0,,,,,,,
1149,-0.0,0,,,,,,,
1199,-0.0,0,,,,,,,
1249,-0.0,0,,,,,,,
1299,-0.0,0,,,,,,,
1349,-0.0,0,,,,,,,
1399,-0.0,0,,,,,,,
1449,-0.0,0,,,,,,,
1499,-0.0,0,,,,,,,
1549,-0.0,0,,,,,,,
1599,-0.0,0,,,,,,,
1649,-0.0,0,,,,,,,
1699,-0.0,0,,,,,,,
1749,-0.0,0,,,,,,,
1799,-0.0,0,,,,,,,
1849,-0.0,0,,,,,,,
1899,-0.0,0,,,,,,,
1949,-0.0,0,,,,,,,
1999,-0.0,0,,,,,,,
2049,-0.0,0,,,,,,,
2099,-0.0,0,,,,,,,
2149,-0.0,0,,,,,,,
2199,-0.0,0,,,,,,,
2249,-0.0,0,,,,,,,
2299,-0.0,0,,,,,,,
2349,-0.0,0,,,,,,,
2399,-0.0,0,,,,,,,
2449,-0.0,0,,,,,,,
2499,-0.0,0,,,,,,,
2549,-0.0,0,,,,,,,
2599,-0.0,0,,,,,,,
2649,-0.0,0,,,,,,,
2699,-0.0,0,,,,,,,
2749,-0.0,0,,,,,,,
2749,,0,0.0,nan,0.0,nan,0.0,1.0,1.0
