image,label_str,label,split
images/Bombay_152.jpg,bombay,6,train
images/newfoundland_187.jpg,newfoundland,20,train
images/Birman_121.jpg,birman,5,train
images/Ragdoll_75.jpg,ragdoll,24,train
images/pug_7.jpg,pug,23,train
images/american_pit_bull_terrier_140.jpg,american,1,train
images/boxer_95.jpg,boxer,7,train
images/shiba_inu_172.jpg,shiba,29,train
images/pug_159.jpg,pug,23,train
images/pomeranian_106.jpg,pomeranian,22,train
images/Bombay_58.jpg,bombay,6,train
images/Sphynx_192.jpg,sphynx,31,train
images/staffordshire_bull_terrier_123.jpg,staffordshire,32,train
images/shiba_inu_32.jpg,shiba,29,train
images/Persian_239.jpg,persian,21,train
images/Sphynx_186.jpg,sphynx,31,train
images/beagle_14.jpg,beagle,3,train
images/japanese_chin_144.jpg,japanese,15,train
images/newfoundland_20.jpg,newfoundland,20,train
images/pomeranian_77.jpg,pomeranian,22,train
images/Ragdoll_186.jpg,ragdoll,24,train
images/Egyptian_Mau_67.jpg,egyptian,10,train
images/german_shorthaired_22.jpg,german,12,train
images/havanese_43.jpg,havanese,14,train
images/basset_hound_170.jpg,basset,2,train
images/great_pyrenees_96.jpg,great,13,train
images/beagle_111.jpg,beagle,3,train
images/Bombay_2.jpg,bombay,6,train
images/saint_bernard_57.jpg,saint,26,train
images/japanese_chin_100.jpg,japanese,15,train
images/saint_bernard_35.jpg,saint,26,train
images/Persian_1.jpg,persian,21,train
images/Maine_Coon_127.jpg,maine,18,train
images/pug_4.jpg,pug,23,train
images/Maine_Coon_246.jpg,maine,18,train
images/basset_hound_147.jpg,basset,2,train
images/Abyssinian_10.jpg,abyssinian,0,train
images/great_pyrenees_146.jpg,great,13,train
images/yorkshire_terrier_179.jpg,yorkshire,34,train
images/wheaten_terrier_180.jpg,wheaten,33,train
images/Bombay_61.jpg,bombay,6,train
images/american_pit_bull_terrier_51.jpg,american,1,train
images/wheaten_terrier_28.jpg,wheaten,33,train
images/newfoundland_70.jpg,newfoundland,20,train
images/Bombay_80.jpg,bombay,6,train
images/newfoundland_112.jpg,newfoundland,20,train
images/chihuahua_174.jpg,chihuahua,9,train
images/leonberger_48.jpg,leonberger,17,train
images/beagle_18.jpg,beagle,3,train
images/Russian_Blue_111.jpg,russian,25,train
images/Bengal_155.jpg,bengal,4,train
images/miniature_pinscher_158.jpg,miniature,19,train
images/scottish_terrier_75.jpg,scottish,28,train
images/chihuahua_47.jpg,chihuahua,9,train
images/great_pyrenees_160.jpg,great,13,train
images/english_cocker_spaniel_128.jpg,english,11,train
images/japanese_chin_155.jpg,japanese,15,train
images/scottish_terrier_68.jpg,scottish,28,train
images/yorkshire_terrier_185.jpg,yorkshire,34,train
images/german_shorthaired_164.jpg,german,12,train
images/wheaten_terrier_134.jpg,wheaten,33,train
images/Siamese_95.jpg,siamese,30,train
images/english_setter_33.jpg,english,11,train
images/Bombay_20.jpg,bombay,6,train
images/japanese_chin_4.jpg,japanese,15,train
images/american_pit_bull_terrier_30.jpg,american,1,train
images/staffordshire_bull_terrier_82.jpg,staffordshire,32,train
images/staffordshire_bull_terrier_128.jpg,staffordshire,32,train
images/Russian_Blue_113.jpg,russian,25,train
images/miniature_pinscher_42.jpg,miniature,19,train
images/leonberger_137.jpg,leonberger,17,train
images/boxer_41.jpg,boxer,7,train
images/Maine_Coon_30.jpg,maine,18,train
images/Siamese_170.jpg,siamese,30,train
images/english_setter_20.jpg,english,11,train
images/boxer_42.jpg,boxer,7,train
images/pug_201.jpg,pug,23,train
images/great_pyrenees_134.jpg,great,13,train
images/great_pyrenees_126.jpg,great,13,train
images/samoyed_84.jpg,samoyed,27,train
images/Egyptian_Mau_192.jpg,egyptian,10,train
images/shiba_inu_80.jpg,shiba,29,train
images/keeshond_61.jpg,keeshond,16,train
images/Sphynx_102.jpg,sphynx,31,train
images/shiba_inu_124.jpg,shiba,29,train
images/Russian_Blue_192.jpg,russian,25,train
images/english_setter_109.jpg,english,11,train
images/shiba_inu_42.jpg,shiba,29,train
images/boxer_114.jpg,boxer,7,train
images/american_bulldog_137.jpg,american,1,train
images/Ragdoll_176.jpg,ragdoll,24,train
images/Persian_261.jpg,persian,21,train
images/leonberger_95.jpg,leonberger,17,train
images/Bombay_100.jpg,bombay,6,train
images/keeshond_89.jpg,keeshond,16,train
images/Bombay_114.jpg,bombay,6,train
images/Bengal_51.jpg,bengal,4,train
images/great_pyrenees_84.jpg,great,13,train
images/Egyptian_Mau_58.jpg,egyptian,10,train
images/Maine_Coon_98.jpg,maine,18,train
images/pomeranian_18.jpg,pomeranian,22,train
images/staffordshire_bull_terrier_75.jpg,staffordshire,32,train
images/Persian_120.jpg,persian,21,train
images/great_pyrenees_130.jpg,great,13,train
images/Russian_Blue_160.jpg,russian,25,train
images/Russian_Blue_168.jpg,russian,25,train
images/Russian_Blue_79.jpg,russian,25,train
images/pug_85.jpg,pug,23,train
images/scottish_terrier_16.jpg,scottish,28,train
images/great_pyrenees_32.jpg,great,13,train
images/Persian_173.jpg,persian,21,train
images/miniature_pinscher_15.jpg,miniature,19,train
images/basset_hound_67.jpg,basset,2,train
images/Persian_122.jpg,persian,21,train
images/pug_163.jpg,pug,23,train
images/miniature_pinscher_54.jpg,miniature,19,train
images/Birman_100.jpg,birman,5,train
images/saint_bernard_21.jpg,saint,26,train
images/scottish_terrier_126.jpg,scottish,28,train
images/Sphynx_247.jpg,sphynx,31,train
images/miniature_pinscher_57.jpg,miniature,19,train
images/saint_bernard_16.jpg,saint,26,train
images/Ragdoll_25.jpg,ragdoll,24,train
images/Ragdoll_138.jpg,ragdoll,24,train
images/shiba_inu_158.jpg,shiba,29,train
images/wheaten_terrier_116.jpg,wheaten,33,train
images/shiba_inu_29.jpg,shiba,29,train
images/Bengal_101.jpg,bengal,4,train
images/Maine_Coon_184.jpg,maine,18,train
images/samoyed_19.jpg,samoyed,27,train
images/Maine_Coon_231.jpg,maine,18,train
images/pug_167.jpg,pug,23,train
images/miniature_pinscher_117.jpg,miniature,19,train
images/pomeranian_2.jpg,pomeranian,22,train
images/Maine_Coon_58.jpg,maine,18,train
images/saint_bernard_17.jpg,saint,26,train
images/Persian_160.jpg,persian,21,train
images/saint_bernard_192.jpg,saint,26,train
images/yorkshire_terrier_137.jpg,yorkshire,34,train
images/Bengal_24.jpg,bengal,4,train
images/newfoundland_164.jpg,newfoundland,20,train
images/japanese_chin_55.jpg,japanese,15,train
images/British_Shorthair_70.jpg,british,8,train
images/german_shorthaired_99.jpg,german,12,train
images/newfoundland_132.jpg,newfoundland,20,train
images/Bombay_132.jpg,bombay,6,train
images/Bengal_88.jpg,bengal,4,train
images/newfoundland_149.jpg,newfoundland,20,train
images/Abyssinian_142.jpg,abyssinian,0,train
images/basset_hound_127.jpg,basset,2,train
images/saint_bernard_151.jpg,saint,26,train
images/saint_bernard_53.jpg,saint,26,train
images/Russian_Blue_117.jpg,russian,25,train
images/Bengal_126.jpg,bengal,4,train
images/Maine_Coon_9.jpg,maine,18,train
images/japanese_chin_165.jpg,japanese,15,train
images/Ragdoll_42.jpg,ragdoll,24,train
images/english_setter_11.jpg,english,11,train
images/Sphynx_148.jpg,sphynx,31,train
images/Russian_Blue_100.jpg,russian,25,train
images/shiba_inu_20.jpg,shiba,29,train
images/japanese_chin_176.jpg,japanese,15,train
images/wheaten_terrier_162.jpg,wheaten,33,train
images/Ragdoll_153.jpg,ragdoll,24,train
images/samoyed_99.jpg,samoyed,27,train
images/american_bulldog_191.jpg,american,1,train
images/Ragdoll_183.jpg,ragdoll,24,train
images/British_Shorthair_68.jpg,british,8,train
images/english_cocker_spaniel_55.jpg,english,11,train
images/Bengal_163.jpg,bengal,4,train
images/Bengal_16.jpg,bengal,4,train
images/japanese_chin_105.jpg,japanese,15,train
images/wheaten_terrier_167.jpg,wheaten,33,train
images/saint_bernard_102.jpg,saint,26,train
images/keeshond_161.jpg,keeshond,16,train
images/havanese_99.jpg,havanese,14,train
images/Birman_147.jpg,birman,5,train
images/american_bulldog_179.jpg,american,1,train
images/British_Shorthair_198.jpg,british,8,train
images/Birman_201.jpg,birman,5,train
images/scottish_terrier_26.jpg,scottish,28,train
images/pug_132.jpg,pug,23,train
images/great_pyrenees_3.jpg,great,13,train
images/pomeranian_72.jpg,pomeranian,22,train
images/keeshond_100.jpg,keeshond,16,train
images/British_Shorthair_17.jpg,british,8,train
images/yorkshire_terrier_32.jpg,yorkshire,34,train
images/german_shorthaired_128.jpg,german,12,train
images/great_pyrenees_23.jpg,great,13,train
images/japanese_chin_138.jpg,japanese,15,train
images/boxer_66.jpg,boxer,7,train
images/german_shorthaired_19.jpg,german,12,train
images/wheaten_terrier_94.jpg,wheaten,33,train
images/Bombay_176.jpg,bombay,6,train
images/miniature_pinscher_179.jpg,miniature,19,train
images/newfoundland_69.jpg,newfoundland,20,train
images/Birman_107.jpg,birman,5,train
images/wheaten_terrier_170.jpg,wheaten,33,train
images/chihuahua_94.jpg,chihuahua,9,train
images/British_Shorthair_113.jpg,british,8,train
images/samoyed_196.jpg,samoyed,27,train
images/german_shorthaired_79.jpg,german,12,train
images/Sphynx_160.jpg,sphynx,31,train
images/pomeranian_43.jpg,pomeranian,22,train
images/Persian_99.jpg,persian,21,train
images/scottish_terrier_83.jpg,scottish,28,train
images/Siamese_72.jpg,siamese,30,train
images/leonberger_109.jpg,leonberger,17,train
images/japanese_chin_89.jpg,japanese,15,train
images/saint_bernard_116.jpg,saint,26,train
images/keeshond_154.jpg,keeshond,16,train
images/english_setter_78.jpg,english,11,train
images/basset_hound_131.jpg,basset,2,train
images/american_bulldog_180.jpg,american,1,train
images/Siamese_187.jpg,siamese,30,train
images/german_shorthaired_194.jpg,german,12,train
images/yorkshire_terrier_174.jpg,yorkshire,34,train
images/english_setter_116.jpg,english,11,train
images/miniature_pinscher_21.jpg,miniature,19,train
images/scottish_terrier_96.jpg,scottish,28,train
images/leonberger_113.jpg,leonberger,17,train
images/Bengal_76.jpg,bengal,4,train
images/yorkshire_terrier_124.jpg,yorkshire,34,train
images/Ragdoll_227.jpg,ragdoll,24,train
images/yorkshire_terrier_126.jpg,yorkshire,34,train
images/British_Shorthair_27.jpg,british,8,train
images/Birman_138.jpg,birman,5,train
images/Siamese_146.jpg,siamese,30,train
images/Russian_Blue_159.jpg,russian,25,train
images/english_setter_91.jpg,english,11,train
images/shiba_inu_143.jpg,shiba,29,train
